,name,category,latitude,longitude,distance_from_center_km
0,,amenity,48.8393301,2.3500747,0.0694704932259442
1,Paris Gobelins,amenity,48.8357948,2.3528766,0.5122655819129623
2,La Fontaine aux Vins,shop,48.8407951,2.3497522,0.09675171588598132
3,The Blind Tiger,amenity,48.8402192,2.3502633,0.04781018122467015
4,L'Épée de Bois,shop,48.8415751,2.3501804,0.18570733526117023
5,Jardin des Pâtes,amenity,48.8437435,2.3544856,0.5469861254026188
6,Drunken Bunny,amenity,48.8429884,2.3495493,0.34107560787967217
7,Le Vieux Chêne,amenity,48.8423393,2.3498473,0.2684772815951059
8,Young and Happy Hostel,tourism,48.8423193,2.3496779,0.2663398202572611
9,Hôtel Port-Royal,tourism,48.8371263,2.350581,0.3166775435141879
10,,amenity,48.8406162,2.3547791,0.37435586918456226
11,,amenity,48.8383169,2.3484363,0.20454620825009212
12,La Cave à Vin,amenity,48.8415202,2.3510694,0.20075877551923643
13,Pub Gay-Lussac,amenity,48.841516,2.343644,0.4844331984460275
14,Taj Mahal,amenity,48.8374507,2.3523064,0.3315405174168629
15,Sitis Market,shop,48.8406857,2.3453388,0.3373481706303979
16,,amenity,48.8405017,2.3540262,0.3176544231364331
17,,amenity,48.8406418,2.3541771,0.3319021220691341
18,,amenity,48.8387859,2.3504803,0.13653594411605144
19,,amenity,48.8398577,2.3474231,0.17374646227284643
20,La Contrescarpe,amenity,48.8442805,2.3494077,0.4851191775119974
21,McDonald's,amenity,48.8366655,2.3506956,0.3685965305785453
22,L'Escurial,amenity,48.8367718,2.3496494,0.3508482802555183
23,Le Canon des Gobelins,amenity,48.8367142,2.3522749,0.40107154058206307
24,,amenity,48.8411613,2.3524312,0.2377834628758866
25,Fontaine Wallace,amenity,48.8397602,2.356416,0.4868971215927123
26,,amenity,48.8438674,2.3547835,0.5715268851495698
27,Fontaine Cuvier,amenity,48.8439963,2.3550311,0.5942015776507618
28,Fontaine Wallace,amenity,48.8403818,2.3507009,0.08407508732233442
29,Colbeh,amenity,48.8442266,2.3492264,0.4800939674980135
30,,amenity,48.837415,2.3535402,0.39219046157523685
31,,amenity,48.8374068,2.3535191,0.39175559289303763
32,,amenity,48.8379023,2.3556275,0.484129574598701
33,César Pizza,amenity,48.8368523,2.3527784,0.40618698714153073
34,,amenity,48.8413053,2.3562173,0.4962780399977632
35,,amenity,48.8376741,2.344919,0.4363710550077394
36,Le Canon de la Presse,shop,48.8365447,2.3523632,0.4208150027394959
37,Atelier Huré,shop,48.8443705,2.3549971,0.6249553006782302
38,Le Foyer Vietnam,amenity,48.8422251,2.3519017,0.29913455429898395
39,Société Générale,amenity,48.8422456,2.3522458,0.3148481701982607
40,La Comedia,amenity,48.8402209,2.3517797,0.1498642198493813
41,Maison des jeunes de Saint-Médard,amenity,48.8411303,2.3546717,0.38272531090900863
42,Philippe Teillet,shop,48.8436833,2.3521069,0.451244338022622
43,,amenity,48.8398659,2.3475405,0.16509803524119798
44,+82,amenity,48.8407711,2.3471264,0.2168199053699166
45,Salon de thé de La Mosquée de Paris,amenity,48.8416802,2.3556271,0.47096416709793937
46,Restaurant de La Mosquée de Paris,amenity,48.8417641,2.3556159,0.47416388785516445
47,Les Crêpes du Jardin,amenity,48.8411075,2.3561671,0.48637533899026303
48,Le Jardin de Jasmine,amenity,48.8411558,2.356239,0.49292249215749484
49,Cabinet Vétérinaire Garcia Hardy Spitz,amenity,48.8373131,2.3492164,0.29351759277752126
50,One by the Five,tourism,48.8378056,2.3463754,0.34397609583763333
51,Verse Toujours,amenity,48.8384388,2.3510826,0.1906951726304221
52,BNP Paribas,amenity,48.838201,2.3505,0.19876358722458748
53,BNP Paribas,amenity,48.8382672,2.3505293,0.19226851182172833
54,BNP Paribas,amenity,48.8382699,2.3505108,0.1915999443973808
55,Jacadi,shop,48.8380983,2.3506059,0.2118748213514394
56,Avant Première,shop,48.8376535,2.3509095,0.26572970690501163
57,Pressing Traditionnel,shop,48.8379686,2.3507034,0.22775239754187668
58,La Souche,shop,48.8379031,2.3507502,0.23572859871335008
59,Crédit Agricole,amenity,48.8377256,2.3508646,0.2570858363576595
60,Carrefour Market,shop,48.8372799,2.3541983,0.43746557480037834
61,Boulangerie Attos,shop,48.8377501,2.3541322,0.40028010427386546
62,Picard,shop,48.8378389,2.3543721,0.4087618422665878
63,Optic 2000,shop,48.8386069,2.3509548,0.16981700051508394
64,Maison Landemaine,shop,48.8386691,2.3508951,0.161634075818338
65,Starbucks,amenity,48.8389406,2.3506304,0.12577578500870482
66,,amenity,48.8386419,2.3508748,0.16352334877710759
